f1,f2,m1,m2,damage
6.9665,14.267,0.999142433139212,0.9927587935428732,5
6.9257,14.177,0.9990480752990921,0.9926828332209074,5
6.9121,14.127,0.9990018810460879,0.9922996383066593,5
6.9005,14.078,0.9991438906718587,0.9916157581522226,5
6.847,13.967,0.9990681501114999,0.9918291077419346,5
6.8315,13.913,0.9989424642754691,0.9914654400279369,5
6.8438,13.897,0.998973102598222,0.9905145394489674,5
6.8155,13.823,0.9989852045181243,0.9898995313790897,5
6.8252,13.801,0.998799277902665,0.9894361102006081,5
6.7323,13.634,0.9989569660912657,0.9892613189393469,5
6.8158,13.716,0.9986995836364465,0.9874063429565221,5
6.7986,13.653,0.9986193932092032,0.9868197733735526,5
6.679,13.451,0.9987224568350448,0.9869197610728975,5
6.7273,13.474,0.9985196394477084,0.9862368626460496,5
6.7331,13.439,0.9982661720153182,0.985746315231723,5
6.7026,13.355,0.9982651299530102,0.9850257237594949,5
6.6092,13.186,0.9981617487060473,0.9858253171257809,5
6.6732,13.226,0.9978988596005258,0.983671231463978,5
6.4491,12.881,0.9984564036466963,0.9858078791202433,5
6.6094,13.047,0.9978673968211677,0.9820628753071337,6
6.6314,13.024,0.9974724547500637,0.980784496909064,6
6.5976,12.93,0.997529473783752,0.9793446143272839,6
6.553,12.819,0.9974131163180706,0.9792731846324465,6
6.5384,12.746,0.9971101523597549,0.9784150214202088,6
6.547,12.698,0.9969469144799031,0.9763788025742072,6
6.4773,12.554,0.9968467204329423,0.9765234975615215,6
6.5025,12.523,0.9965885602328071,0.9734326557023677,6
6.4648,12.413,0.9963104541093699,0.9733163270992786,6
6.3953,12.266,0.9963547081508223,0.9727802366548087,6
6.3528,12.148,0.9960211689754335,0.9722212661045938,6
6.3248,12.046,0.9959689853686577,0.9703804199690902,6
6.3228,11.969,0.9955331095294627,0.9685185722402111,6
6.2601,11.823,0.9954647833294489,0.9676037045980828,6
6.2546,11.737,0.9950424111550432,0.9652645376027529,6
6.1995,11.594,0.9947942595186008,0.9645733029139282,6
6.1716,11.478,0.9944360811255017,0.9626211453593944,6
6.1234,11.337,0.9941654652516582,0.9611198449932106,6
6.0824,11.201,0.9938217307250099,0.9591876729219423,6
6.0986,11.115,0.9928575088595163,0.956184177125072,6
7.0758,15.046,0.9999748045401461,0.997738832114182,7
7.1142,15.149,0.9998975111586462,0.9967612069724923,7
7.0207,14.963,0.999980621859483,0.9978299605311604,7
7.0923,15.143,0.999818837043984,0.9961535452252505,7
6.9861,14.853,0.9998811441483998,0.9965739112245792,7
7.0158,14.957,0.9997572798884581,0.9956355467598901,7
6.9777,14.901,0.9997975978160009,0.9959997849923424,7
6.9321,14.818,0.9998339156216697,0.9963237086679073,7
6.9786,14.92,0.9994762402276729,0.9938336679743872,7
6.995,14.966,0.999130873773042,0.9917890358100356,7
6.9945,15.033,0.9990769912939687,0.9916189634773069,7
