f1,f2,MAC1,MAC2,LABEL
5.5008,13.355,0.9967657743,0.9777952615,8
5.4699,13.277,0.9967054488,0.9775925282,8
5.4442,13.229,0.9965090890,0.9762129840,8
5.423,13.167,0.9965708538,0.9780672232,8
5.4154,13.211,0.9960085631,0.9739914684,8
5.4041,13.251,0.9953447069,0.9687601431,8
5.398,13.265,0.9951032198,0.9688446698,9
5.3738,13.245,0.9946316608,0.9652472565,9
5.3517,13.193,0.9945944290,0.9667171066,9
5.3112,13.092,0.9944858142,0.9660286818,9
5.3323,13.274,0.9932422972,0.9586171689,9
5.2892,13.161,0.9931836777,0.9585495448,9
5.2645,13.148,0.9925789344,0.9545091414,9
5.2271,13.046,0.9926116650,0.9562504419,9
5.2063,13.053,0.9919134473,0.9521134739,9
5.1963,13.1,0.9911168170,0.9485474982,9
5.1271,12.908,0.9910528267,0.9461908517,9
5.0688,12.751,0.9909700227,0.9449841611,9
5.0816,12.926,0.9894020664,0.9370639341,9
5.0435,12.851,0.9890918825,0.9366332857,9
4.9906,12.738,0.9886371262,0.9328162459,9
4.9643,12.738,0.9878027731,0.9292210867,9
4.9191,12.645,0.9874634807,0.9285298193,9
4.871,12.557,0.9869101048,0.9254245316,9
4.8486,12.589,0.9858294742,0.9217613884,9
4.8071,12.545,0.9849648092,0.9177277637,9
5.936,13.694,0.9999173949,0.9990648399,1
5.9025,13.607,0.9999223588,0.9992036073,1
5.8565,13.496,0.9999395907,0.9994795663,1
5.8919,13.578,0.9999260348,0.9987647181,1
5.8745,13.529,0.9999239632,0.9986644949,1
5.8835,13.475,0.9997740111,0.9976700947,1
5.8782,13.482,0.9998309866,0.9974630252,1
5.852,13.36,0.9996938397,0.9971057381,1
5.8846,13.416,0.9996206706,0.9954505999,1
5.8651,13.364,0.9996249222,0.9953239383,1
5.8639,13.364,0.9996444265,0.9945888711,1
5.8194,13.256,0.9996725068,0.9953350294,1
5.8159,13.216,0.9995819558,0.9943702046,1
5.8393,13.225,0.9994028748,0.9919416999,1
5.8842,13.294,0.9992332893,0.9877445096,1
5.784,13.079,0.9994027610,0.9921243258,1
5.7705,13.018,0.9992947413,0.9913041707,1
5.7867,13.055,0.9993072675,0.9889859155,1
5.7693,12.985,0.9991991197,0.9882463809,1
5.7867,12.977,0.9989554458,0.9848229145,1
5.77,12.921,0.9988952698,0.9839143302,2
5.7213,12.801,0.9989086521,0.9855281628,2
5.7247,12.8,0.9988888166,0.9830201168,2
5.7222,12.771,0.9987856734,0.9806027682,2
5.63,12.611,0.9991630067,0.9861444367,2
5.6682,12.627,0.9987633473,0.9801510478,2
5.665,12.576,0.9985050103,0.9774274254,2
5.6729,12.545,0.9981871910,0.9730930374,2
5.6251,12.421,0.9981238029,0.9752059280,2
